# Source: HSE PCRS Annual Reporting Portal (public, no login required)
# https://www.sspcrs.ie/portal/annual-reporting/report/pharmacy -> "Top 100 Prescribing Products" (Monthly), Scheme Type = GMS
# Collected manually on 2026-07-29. Full 8 years available on the portal (Jan 2016 - Dec 2023), all 12 months
# each year, for the Republic of Ireland (GMS scheme only) - NOT this pharmacy's own sales. Used to derive both
# a relative demand weight between drugs AND a real month-of-year seasonal index per drug, averaged across all
# 8 years (see app/pcrs.py) - not a single year's noise.
# A handful of 2016-2017 months show fewer than 15 drugs - some simply weren't in the GMS top-100 that early.
# Amoxicillin also drops out of several mid-summer months most years (antibiotic prescribing dips then).
# These gaps are left absent rather than guessed at; app/pcrs.py falls back to a flat 1.0 multiplier for them.
year_month,product_name,prescribing_frequency
201808,Colecalciferol,61069
201808,Esomeprazole,118774
201808,Paracetamol,121017
201808,Acetylsalicylic Acid,171893
201808,Bisoprolol,108624
201808,Rosuvastatin,73793
201808,Salbutamol (Inhaled),91183
201808,Pantoprazole,63302
201808,Amlodipine,72348
201808,Folic Acid,52514
201808,Ramipril,65489
201808,Sertraline,39459
201809,Atorvastatin,149692
201809,Levothyroxine Sodium,140034
201809,Colecalciferol,57785
201809,Esomeprazole,111095
201809,Paracetamol,115795
201809,Acetylsalicylic Acid,159331
201809,Bisoprolol,101072
201809,Rosuvastatin,68926
201809,Salbutamol (Inhaled),92750
201809,Pantoprazole,59035
201809,Amlodipine,67292
201809,Folic Acid,48697
201809,Ramipril,60843
201809,Sertraline,36536
201809,Amoxicillin,36395
201810,Atorvastatin,157762
201810,Levothyroxine Sodium,147985
201810,Colecalciferol,62946
201810,Esomeprazole,117911
201810,Paracetamol,124016
201810,Acetylsalicylic Acid,167309
201810,Bisoprolol,106802
201810,Rosuvastatin,73041
201810,Salbutamol (Inhaled),99517
201810,Pantoprazole,62595
201810,Amlodipine,71350
201810,Folic Acid,51841
201810,Ramipril,64234
201810,Sertraline,39372
201810,Amoxicillin,39895
201811,Atorvastatin,159180
201811,Levothyroxine Sodium,149531
201811,Colecalciferol,64880
201811,Esomeprazole,119184
201811,Paracetamol,125179
201811,Acetylsalicylic Acid,167140
201811,Bisoprolol,107625
201811,Rosuvastatin,73326
201811,Salbutamol (Inhaled),100383
201811,Pantoprazole,62964
201811,Amlodipine,72215
201811,Folic Acid,52077
201811,Ramipril,64793
201811,Sertraline,39933
201811,Amoxicillin,41637
201812,Atorvastatin,156033
201812,Levothyroxine Sodium,146777
201812,Colecalciferol,63998
201812,Esomeprazole,117401
201812,Paracetamol,122889
201812,Acetylsalicylic Acid,163415
201812,Bisoprolol,105482
201812,Rosuvastatin,72448
201812,Salbutamol (Inhaled),102749
201812,Pantoprazole,61828
201812,Amlodipine,71678
201812,Folic Acid,50482
201812,Ramipril,62955
201812,Sertraline,38780
201812,Amoxicillin,53514
201901,Atorvastatin,160506
201901,Levothyroxine Sodium,150555
201901,Colecalciferol,67895
201901,Esomeprazole,122221
